#{"t_start": 1788756738.2250724, "env_id": "None"}
r,l,t
-0.25,1,7.074426
-0.25,1,7.076777
0.75,1,7.079
-1.25,2,7.082985
0.75,1,7.08508
0.75,1,7.087224
-0.75,1,7.089475
0.75,1,7.091611
0.75,1,7.093862
-0.75,1,7.095903
-0.25,2,7.100283
0.75,1,7.102812
0.75,1,7.105401
0.75,1,7.107841
-1.25,2,7.11218
-0.25,2,7.116283
-0.75,1,7.118454
0.75,1,7.12056
0.75,1,7.122706
-0.25,2,7.126657
-0.25,1,7.129102
0.75,4,7.139127
0.75,1,7.142304
0.75,1,7.145588
-0.75,1,7.149275
-0.75,1,7.15242
0.75,4,7.161855
-0.25,1,7.164168
-0.25,2,7.168525
-0.25,1,7.170853
0.75,1,7.173084
0.75,1,7.175292
-1.25,2,7.179387
0.75,1,7.181545
-0.25,2,7.185933
0.75,1,7.188498
-0.75,1,7.191074
0.75,1,7.193659
0.25,3,7.200403
0.75,1,7.202815
0.75,1,7.205282
-0.25,1,7.208405
-0.25,2,7.214231
-1.25,2,7.219299
0.25,3,7.227178
-0.75,1,7.23033
-0.25,2,7.235563
-1.25,3,7.243311
0.75,1,7.245978
-1.25,2,7.250736
0.75,1,7.253236
0.75,1,7.255685
-0.25,1,7.258177
0.75,1,7.260454
-0.75,1,7.262699
0.25,3,7.268514
-0.25,1,7.27141
0.75,1,7.273823
0.75,1,7.276127
-0.25,2,7.280339
-0.25,1,7.282516
-0.25,1,7.284642
0.75,1,7.286762
0.75,1,7.288869
-0.75,1,7.291037
-1.25,3,7.297711
0.75,1,7.300014
-1.25,2,7.304846
-0.75,2,7.314767
0.75,1,7.320661
0.75,1,7.326695
0.75,1,7.331116
-0.75,1,7.334413
-0.25,2,7.340875
0.75,1,7.343264
0.75,1,7.345504
-0.25,1,7.347936
-0.25,1,7.350452
-0.25,1,7.353129
-0.75,1,7.355834
0.75,1,7.358623
-0.25,1,7.361486
0.75,1,7.363987
0.75,1,7.366507
-0.75,1,7.369041
-1.25,2,7.373409
-1.25,2,7.377696
0.75,1,7.379938
0.75,1,7.382254
-0.25,1,7.384554
-0.25,1,7.386719
-0.75,1,7.388849
-0.25,1,7.390967
0.25,3,7.396356
0.75,1,7.398899
0.75,1,7.401325
-0.75,1,7.403862
-1.25,3,7.414497
0.75,1,7.422615
0.75,1,7.430215
-0.25,2,7.442893
0.75,1,7.446229
-0.25,2,7.452063
0.75,1,7.454887
-0.75,1,7.45762
-0.75,1,7.460362
-0.25,2,7.465592
-0.25,2,7.470627
0.75,1,7.473104
-1.25,2,7.477733
0.75,1,7.481397
0.75,1,7.485616
-0.25,2,7.493908
-0.25,2,7.499556
0.75,1,7.50243
-0.75,1,7.505324
-0.25,1,7.508145
-0.25,1,7.510991
0.75,1,7.513847
0.75,1,7.516638
-0.25,2,7.521967
-0.25,1,7.524927
0.75,1,7.52788
-0.75,1,7.530865
-0.75,1,7.534091
0.75,1,7.537708
0.75,1,7.540952
-0.75,3,7.548279
-1.25,2,7.55287
0.75,1,7.555133
0.75,1,7.557435
-0.75,1,7.55978
0.75,1,7.56196
0.75,1,7.564078
-0.75,1,7.56626
-0.25,2,7.570904
0.75,1,7.573534
0.75,1,7.576613
0.75,1,7.579211
0.75,1,7.581773
0.75,1,7.58409
-0.25,2,7.588403
0.25,3,7.59466
0.75,1,7.596791
-3.25,4,7.604405
-0.75,1,7.606581
-1.25,2,7.61055
0.75,1,7.612791
0.75,1,7.615409
0.75,1,7.618071
-0.25,2,7.622819
-0.75,1,7.625434
-0.25,1,7.628925
-0.75,1,7.632556
-0.75,2,7.638103
0.75,1,7.640891
-0.25,1,7.643497
-0.75,1,7.646251
0.75,1,7.648731
0.75,1,7.651319
-0.25,1,7.654268
0.75,1,7.657466
-0.75,1,7.660364
0.75,1,7.663025
0.75,1,7.665788
-0.25,2,7.670558
-0.25,2,7.674849
0.75,1,7.677101
-0.75,2,7.68165
0.75,1,7.684394
0.75,1,7.687186
-0.25,1,7.689829
0.75,1,7.692519
-0.25,2,7.697202
-0.75,1,7.700601
-0.25,1,7.703791
0.75,1,7.706299
0.75,1,7.70892
-0.75,1,7.711453
0.75,1,7.714105
0.75,1,7.716659
0.75,1,7.719199
0.75,1,7.721702
0.75,4,7.729832
-0.25,1,7.732088
-0.75,1,7.734216
0.75,1,7.736312
0.75,1,7.738429
-0.75,1,7.740735
-0.75,1,7.743253
0.75,1,7.745783
0.75,1,7.748099
-0.75,1,7.750422
0.75,1,7.752729
-1.25,3,7.758541
0.75,1,7.760747
0.75,1,7.762927
-0.25,1,7.765068
-0.25,1,7.767432
-0.75,3,7.773494
-0.75,1,7.775481
0.75,1,7.77751
